基础版,,,,,,,
ID,职能分类 (Role),怪物原型 (AI Archetype),资产来源 (Asset Source),变种逻辑 (Variant Logic),估算数量 (Count),行为复杂度 (AI Complexity),备注 (Notes)
M-01,杂兵 - 近战,Rusher,6 套基础模型,Shader 换色,18,⭐ (低),纯堆量的炮灰，主要靠数量压制。
,,,,,,,
,(Minion Melee),(直线冲锋),(每星球1套),"(红=狂暴, 绿=毒)",,,
M-02,杂兵 - 远程,Kiter,6 套基础模型,更换子弹特效,12,⭐⭐ (中),只有最基础的射击逻辑，无预判。
,,,,,,,
,(Minion Ranged),(保持距离),(每星球1套),(实弹 -> 激光),,,
E-01,精英单位,Tank / Heavy,复用杂兵模型,数值增强,12,⭐⭐ (中),仅仅是“大号杂兵”，缺乏独立机制。
,,,,,,,
,(Elite),(高血量/霸体),(Scale x 1.5),"(血量 x5, 攻速 x1.2)",,,
B-01,区域首领,Boss Logic,12 套独立模型,无,12,⭐⭐⭐⭐⭐ (极高),也就是 6 个星球，每星球 1 主 1 副。
,,,,,,,
,(Area Boss),(多阶段),(完全新建),(唯一存在),,,
Total,,,24 套独立模型,,54,,勉强及格
,,,,,,,
Plus版,,,,,,,
ID,职能分类 (Role),怪物原型 (AI Archetype),资产来源 (Asset Source),核心机制 / 针对性 (Key Mechanic / Counter),估算数量 (Count),开发复杂度 (Dev Complexity),备注 (Notes)
M-Plus,杂兵 - 基础,Rusher / Kiter,8 套基础模型,元素变种,30,⭐ (低),基础生态填充。
,,,,,,,
,(Minion Base),,(通用性更强),(死亡自爆/分裂/留毒),,,
S-01,特化 - 反制型,Reflector,杂兵模型 + 挂件,针对高频武器,12,⭐⭐⭐ (高),Build 质检员。迫使玩家切换武器。
,,,,,,,
,(Specialist Counter),(反弹/护盾),(加装镜面盾/棱镜),(反射激光/吞噬弹幕),,,
S-02,特化 - 机动型,Stalker / Teleport,杂兵模型 + 特效,针对远程风筝,8,⭐⭐⭐ (高),光帆质检员。迫使玩家学习高级移动。
,,,,,,,
,(Specialist Mobile),(瞬移/隐身),(残影 Shader/隐身材质),(突进贴脸/绕后背刺),,,
S-03,特化 - 环境型,Turret / Trap,场景组件复用,地形杀,10,⭐⭐ (中),增加探索时的紧张感。
,,,,,,,
,(Hazard),(固定/伪装),(墙壁/地板/天花板),(推人下崖/地刺/吊顶),,,
E-Plus,强力精英,Mini-Boss Logic,4 套独立骨骼,霸体/护盾/召唤,12,⭐⭐⭐⭐ (高),真正的精英，有独立名字和技能条。
,,,,,,,
,(Elite Major),(复杂技能组),(高精度模型),(也就是所谓的小Boss),,,
W-01,游荡首领,Nemesis,复用 Boss 模型,随机乱入,6,⭐⭐⭐ (中),复用前几个星球的 Boss 资源。
,,,,,,,
,(Roaming Boss),(追击者),(异色版/战损版),(全图追杀),,,
B-Plus,守关首领,Phase Script,12 套独立模型,叙事与机制终考,12,⭐⭐⭐⭐⭐ (极高),保持不变，保证质量。
,,,,,,,
,(Act Boss),(演出级脚本),,,,,
Total,,,36 套模型 + 大量挂件,,90,,2A 黄金标准