ID,Category,Name,Behavior_Description,Player_Experience,Dev_Difficulty,,,,,
CF-01,Cannon Fodder,Swarm Crawler,成群结队出现；血量极低；无脑直线冲锋；主要利用群体碰撞体积卡住玩家位置。,割草爽感来源；但在狭窄地形会感到被“淹没”的恐惧。,Low,,,,,
CF-02,Cannon Fodder,Suicide Boomer,接近玩家后身体膨胀发红；3秒后自爆造成范围伤害；死后会留下持续伤害区域。,优先击杀目标；不仅要杀还要注意躲避尸体爆炸。,Low,,,,,
CF-03,Cannon Fodder,Slime Splitter,死亡时分裂成2-4个更小的个体；小个体移动速度更快但血量更少。,以为打完了结果越打越多；如果不使用AOE武器会非常烦躁。,Medium,,,,,
CF-04,Cannon Fodder,Sticky Leech,跳跃并吸附在玩家身上；不造成伤害但大幅降低移动速度；需要连续冲刺才能甩掉。,极度恶心；严重破坏移动节奏；必须立刻处理。,Medium,,,,,
CF-05,Cannon Fodder,Meat Shield,体型巨大但攻击欲望低；总是主动走到其他远程怪物身前帮它们挡子弹。,让人想骂街；原本能秒掉的脆皮现在打不到了。,Medium,,,,,
CF-06,Cannon Fodder,Infector,自身没有伤害；但接触其他小怪会使其狂暴（体型变大攻速变快）。,像病毒一样扩散；必须先杀感染源。,Medium,,,,,
RZ-01,Ranged,Basic Shooter,发射慢速直线子弹；通常站桩不动；或者只有简单的左右侧移。,最基础的躲避练习；毫无威胁。,Low,,,,,
RZ-02,Ranged,Sniper Unit,攻击前有红外线瞄准锁定玩家2秒；随后发射极高伤害的瞬时弹道（Hitscan）。,看到红线必须立刻寻找掩体或准备闪避；压迫感极强。,Medium,,,,,
RZ-03,Ranged,Shotgunner,发射扇形散弹；距离越近伤害越高；且很难通过走位躲避（必须穿过缝隙或向后退）。,迫使玩家拉开距离；严厉惩罚无脑贴脸行为。,Low,,,,,
RZ-04,Ranged,Mortar Lobber,发射抛物线榴弹；无视墙壁掩体；落地有红圈预警和延时爆炸。,躲在掩体后也不安全；必须时刻保持移动。,Medium,,,,,
RZ-05,Ranged,Prediction Gunner,计算玩家当前的移动向量；向玩家“未来0.5秒”的位置射击。,越是乱跳越容易接子弹；需要学会“急停”这种反直觉操作。,High,,,,,
RZ-06,Ranged,Ricochet Master,发射的子弹会在墙壁上反弹1-2次；在狭窄房间内制造弹幕地狱。,以为躲在墙角没事；结果被反弹的子弹打中背部。,Medium,,,,,
RZ-07,Ranged,Wave Generator,猛击地面；产生扩散的环形震荡波；玩家必须使用“冲刺”穿过波纹或跳跃。,不仅要关注XY轴；还要关注时机；打断射击节奏。,Medium,,,,,
RZ-08,Ranged,Laser Sentinel,发射持续的激光束并缓慢扫射；激光无法被常规手段阻挡。,区域封锁；迫使玩家按照特定轨迹移动。,Medium,,,,,
RZ-09,Ranged,Homing Missiler,发射具有强追踪性能的导弹；导弹可以被玩家击毁；或者引导导弹撞墙。,被迫转火攻击导弹；或者进行极限诱导。,Medium,,,,,
RZ-10,Ranged,Crossfire Drone,两只一组出现；会拉开角度形成交叉火力网。,强迫玩家不能只关注一个方向。,Medium,,,,,
DF-01,Defense,Shield Bearer,手持物理大盾；正面100%无敌；盾牌有受击硬直；但不会破碎。,强迫玩家绕背；或者使用穿透；爆炸武器。,Medium,,,,,
DF-02,Defense,Energy Dome,张开一个半球形能量罩；罩子内的所有怪物不受远程伤害；玩家必须走进罩子肉搏。,远程流派的噩梦；必须肉身犯险。,High,,,,,
DF-03,Defense,Reflector Prism,正面长有镜面；反射所有光束；激光类武器；如果是实弹则只减伤。,用激光枪的玩家会瞬间自杀；极具针对性。,High,,,,,
DF-04,Defense,Black Hole Tank,受到伤害时会开启“吸收模式”；将子弹转化为自己的血量或护盾；必须停止攻击。,考验玩家的“收手”能力；不能无脑按住左键。,High,,,,,
DF-05,Defense,Reactive Armor,每次受到攻击；自动向攻击来源发射一枚反击弹；攻速越快；反击越猛。,高射速武器（如加特林）的克星；必须单点爆发。,High,,,,,
DF-06,Defense,Phalanx Linker,当两个同类单位靠近时；它们之间会生成一道不可通过的激光墙。,不仅怪硬；连路都被封死了。,High,,,,,
MB-01,Mobility,Teleporter,受到伤害或攻击后瞬间传送；通常会传送到玩家视线死角（背后）。,丢失目标；极度紧张；需要听声辨位。,High,,,,,
MB-02,Mobility,Ghost Stalker,平时处于隐身状态（半透明或完全不可见）；只有攻击的一瞬间显形。,不知所措的恐惧感；必须时刻提防背后。,Medium,,,,,
MB-03,Mobility,Dasher,蓄力后进行超长距离的冲刺攻击；速度极快；路径上造成伤害。,像斗牛一样；需要在最后时刻侧闪。,Low,,,,,
MB-04,Mobility,Burrower,潜入地下或地板下移动；此时无敌；只有钻出地面攻击时可被选中。,打不到它的无力感；必须把握它露头的瞬间爆发。,Medium,,,,,
MB-05,Mobility,Wall Clinger,只在墙壁；天花板或深渊边缘移动；地面近战武器无法攻击到它。,迫使玩家使用远程武器或对空手段。,Medium,,,,,
MB-06,Mobility,Phase Shifter,周期性在“实体”和“虚空”之间切换；虚空状态免疫伤害但也不能攻击。,把握输出窗口；节奏感很强。,Medium,,,,,
SP-01,Support,Combat Medic,不攻击；专门给受伤的怪物回血；AI倾向于躲在掩体后。,团战第一击杀目标；否则永远打不完。,Medium,,,,,
SP-02,Support,Buffer Totem,不会移动的图腾；给范围内怪物提供Buff（狂暴；护盾；无敌）。,强制改变战术目标；必须先拆塔。,Low,,,,,
SP-03,Support,Necromancer,吟唱5秒后复活尸体；复活的怪物属性减半。,让玩家产生“守尸”的压力；不能杀完就走。,High,,,,,
SP-04,Support,Summoner,周期性召唤炮灰（CF-01）；如果不杀它；怪物永远清不完。,DPS检测器；必须爆发秒掉。,Medium,,,,,
SP-05,Support,Shield Linker,发射光束连接其他怪物；让被连接者无敌；本体非常脆弱。,通过光线找到躲在后面的本体；战术解谜。,Medium,,,,,
SP-06,Support,Ammo Thief,发射特殊的干扰波；被击中会让玩家弹夹瞬间清空或过热。,打断玩家输出节奏；非常恶心。,Medium,,,,,
CC-01,Control,Trapper,投掷捕网或粘液；被击中后无法移动或无法冲刺；只能开枪。,变成活靶子；极其致命的软控制。,Medium,,,,,
CC-02,Control,Hookshot,发射钩爪将玩家强行拉到身前；通常衔接近战重击。,强制位移破坏玩家节奏；极度惊吓。,Medium,,,,,
CC-03,Control,Pusher,发出冲击波或风场；将玩家推开；用于将玩家推入陷阱或深渊。,地形杀的帮凶；本身无害但很烦人。,Medium,,,,,
CC-04,Control,Silencer,发出尖叫或脉冲；范围内玩家无法使用“主动技能”或“光帆过载”。,依赖技能流派玩家的克星。,High,,,,,
CC-05,Control,Flashbang Unit,蓄力后释放强光；面朝它的玩家会白屏（致盲）3秒；背对可规避。,强制要求玩家转头或背身的操作。,Medium,,,,,
CC-06,Control,Gravity Well,投掷一个重力奇点；持续吸附玩家；越靠近中心移动越慢。,限制走位；配合弹幕怪形成必杀局。,High,,,,,
CC-07,Control,Heat Saboteur,攻击会让玩家的武器“热量”激增；几次攻击就能让武器过热卡壳。,让玩家无法开火；比扣血还难受。,Medium,,,,,
CC-08,Control,Input Inverter,给玩家施加Debuff：上下左右操作反向；持续数秒。,大脑短路；想后退结果冲进怪堆。,High,,,,,
HZ-01,Hazard,Mimic Chest,伪装成宝箱；玩家交互时突然咬人；血厚攻高。,经典的惊吓；让玩家以后开箱子都有心理阴影。,Low,,,,,
HZ-02,Hazard,Ceiling Turret,固定在天花板上的炮台；通常在狭窄走廊。,限制走位空间；需要抬头打（或特定角度）。,Low,,,,,
HZ-03,Hazard,Floor Spike,平时隐藏在地板下；感应到玩家踩踏时刺出。,惩罚不看路的玩家；限制移动区域。,Low,,,,,
HZ-04,Hazard,Proximity Mine,感应到玩家靠近后倒计时爆炸；可以被推开或引爆伤怪。,既是陷阱也是武器；利用得当有奇效。,Low,,,,,
HZ-05,Hazard,Wall Grabber,平时看起来像墙壁纹理；路过时伸出触手抓住玩家。,让玩家不敢贴墙走。,Medium,,,,,
GM-01,Gimmick,Color Coded Red,只有红色（火；热能）武器能造成伤害；其他属性免疫。,强迫玩家扩展武器池深度。,Medium,,,,,
GM-02,Gimmick,Simon Says,怪物身上有红绿灯；绿灯时受伤；红灯时反伤。,考验反应和停手能力；不能贪刀。,Medium,,,,,
GM-03,Gimmick,Damage Cap,每次受击最多只掉1%的血；无论你伤害多高。,克制狙击；核弹流；强迫使用高频武器（机枪）。,Medium,,,,,
GM-04,Gimmick,Linked Twins,双子怪物；必须在10秒内同时击杀；否则活着的会狂暴并复活另一个。,考验控血能力和双目标输出。,High,,,,,
GM-05,Gimmick,Growth Parasite,这种怪物会吃地上的尸体；每吃一个体型变大；数值翻倍。,时间压力；如果不优先处理会变成Boss。,Medium,,,,,
GM-06,Gimmick,Weakpoint Only,全身无敌（弹刀）；只有背后的核心受伤害。,强迫绕背；或者使用具有“回旋；穿透”特性的武器。,Medium,,,,,
GM-07,Gimmick,Doll (Matryoshka),打死大怪出来中怪；打死中怪出来小怪；打死小怪自爆。,没完没了的战斗；消耗玩家耐心和弹药。,Low,,,,,
GM-08,Gimmick,Element Absorber,受到火攻回血；受到冰攻减速；对特定元素有极高抗性。,检验元素池深度；不能只用一种属性。,Medium,,,,,
MT-01,Meta,Loot Goblin,背着麻袋；受到攻击会掉金币；不会攻击；只会逃跑；一段时间后消失。,贪婪测试；为了追它可能会冲进陷阱。,Medium,,,,,
MT-02,Meta,Curse Giver,攻击不扣血；但扣除“生命上限”；这种伤害通常不可治愈。,极度危险；宁可死也不能被打中。,High,,,,,
MT-03,Meta,Resource Thief,攻击会偷取玩家的金币；晶体；击杀后可拿回。,让玩家感到愤怒；仇恨值极高。,Medium,,,,,
MT-04,Meta,Merchant (Secret),平时是NPC；如果你攻击他；他会变成无敌的超强Boss；并在所有后续关卡追杀你。,Very High,,,,,,
MT-05,Meta,Time Reaper,如果玩家在本层停留时间过长；会出现的无敌怪物；一击必杀。,软狂暴机制；迫使玩家推进。,Medium,,,,,
MT-06,Meta,Copycat,它会捡起玩家丢弃的武器；并使用该武器攻击玩家。,让玩家后悔乱扔强力武器。,High,,,,,
EL-01,Elite,Juggernaut,体型巨大；无法被击退；破坏沿途的所有掩体和障碍物。,掩体失效；必须正面对抗的压迫感。,Medium,,,,,
EL-02,Elite,Nemesis (Ghost),加载玩家上一局死亡时的装备和属性；攻击方式完全相同。,打败过去的自己；极具叙事感的战斗。,Very High,,,,,
EL-03,Elite,Assassin Squad,总是3个一组出现；一个近战；一个狙击；一个干扰。,完美的战术配合；像是在打PVP。,High,,,,,
EL-04,Elite,Evolutionary,玩家用什么武器杀它最多；下一层它就生成对该武器的抗性。,动态难度调整；迫使玩家多修。,Very High,,,,,
EL-05,Elite,The Coward,见面就跑的稀有怪；如果没杀掉；下一局它会带着全身神装回来复仇。,长线的因果报应。,High,,,,,
EL-06,Elite,Void Walker,可以在不同房间之间穿梭追杀玩家；不会因为玩家出门就脱战。,持续的压力源；直到死为止。,High,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Planet_ID,Zone_Theme,Monster_Class,In_Game_Name,Archetype_Ref,Spawn_Weight,Visual_Style,Behavior_Logic,Design_Intent,Player_Counter,Asset_Source
P1,示巴星-废弃矿坑,Minion,深渊爬行者 (Rusty Crawler),CF-01 Swarm Crawler,Common,锈蚀金属外壳；冒着黑烟,成群从地底钻出；直线冲锋；无视低矮障碍,【基础压力】利用数量卡住玩家走位；消耗玩家弹药,AOE武器；边退边打,基础骨骼A (爬行类)
P1,示巴星-废弃矿坑,Minion,酸蚀爬行者 (Acid Crawler),CF-01 Variant,Uncommon,背部有绿色发光囊泡；下颚滴落酸液,死亡后留下一滩酸液；持续3秒；对踩踏者造成持续伤害,【战场分割】惩罚无脑后退；限制安全区域；强迫玩家看路,击杀后立刻避开尸体；跳跃,基础骨骼A + 换色 + 毒液特效
P1,示巴星-废弃矿坑,Minion,工蜂无人机 (Worker Drone),RZ-01 Basic Shooter,Common,黄色工业涂装；悬停动作；独眼,保持中距离；发射慢速铆钉弹；弹道清晰,【射击练习】最基础的远程单位；训练玩家躲避弹道的能力,横向移动；寻找掩体,基础骨骼B (浮游类)
P1,示巴星-废弃矿坑,Minion,自爆蜱虫 (Volatile Tick),CF-02 Suicide Boomer,Uncommon,腹部肿胀发红；闪烁频率随距离加快,快速接近；起跳自爆；爆炸无视地形掩体,【优先击杀】强迫玩家转火；制造瞬间的紧张感,在远处点爆；击退技能,基础骨骼A + 缩放 + 自爆特效
P1,示巴星-废弃矿坑,Defense,重型装载机 (Heavy Loader),DF-01 Shield Bearer,Uncommon,手持巨大的铲斗作为盾牌；身披重甲,正面无敌；缓慢推进；试图将玩家逼入死角挤压,【破盾教学】教导玩家正面刚枪是无效的；必须寻找侧翼,冲刺绕背；使用穿透属性,基础骨骼C (壮汉) + 铲斗挂件
P1,示巴星-废弃矿坑,Hazard,天花板钻头 (Ceiling Drill),HZ-02 Ceiling Turret,Rare,倒吊的工业钻头；红色激光眼,固定在天花板；垂直向下攻击正下方玩家；不可移动,【观察力】利用垂直空间制造陷阱；打破平面思维习惯,抬头观察；快速通过死角,场景组件 (复用钻头模型)
P1,示巴星-废弃矿坑,Specialist,晶体甲虫 (Reflector Beetle),DF-03 Reflector Prism,Rare,背部生长着光滑的水晶；闪闪发光,反射所有激光类攻击；如果是实弹则只减伤50%,【Build质检】针对激光流派的初见杀；迫使玩家切换副武器,切换实弹武器；使用炸弹,基础骨骼A + 水晶背甲
P1,示巴星-废弃矿坑,Support,修理博比特 (Repair Bot),SP-01 Combat Medic,Uncommon,多脚蜘蛛型；背着工具箱,不攻击；专门修复重型装载机的护盾；躲在掩体后,【击杀顺序】教导“先杀奶妈”的战术原则；否则战斗无法结束,越过前排优先击杀,基础骨骼B + 维修臂
P1,示巴星-废弃矿坑,Elite,暴走工头 (Foreman),EL-01 Juggernaut,Rare (Elite),体型巨大；双持电钻；全身蒸汽喷涌,霸体；冲撞破坏沿途掩体；怒吼召唤3只爬行者,【综合考题】P1的小考；检验DPS和生存能力的平衡；不可被控制,利用冲撞后的硬直输出,独立模型 (P1副Boss复用)
P1,示巴星-废弃矿坑,Gimmick,盗矿地精 (Loot Goblin),MT-01 Loot Goblin,Very Rare,背着巨大的矿石袋；身形佝偻,见到玩家就跑；掉落大量晶体；会故意跑向陷阱区,【贪婪测试】诱导玩家冲入怪堆或陷阱；贪婪是原罪,控制技能；高爆发留人,通用骨骼 (小人族)
P1,示巴星-废弃矿坑,Boss,锈蚀女王 (Rust Queen),Act Boss,Unique,半生物半机械的巨大母虫;腹部是熔炉,召唤幼崽;全屏震地;腐蚀喷吐;吞噬玩家,[章节高潮]检验玩家对P1所有机制(躲避;AOE;优先击杀)的掌握,多阶段战斗;攻击腹部弱点,独立高精模型
P1,示巴星-废弃矿坑,Boss,挖掘者9000 (Excavator),Mini-Boss,Unique,暴走的巨型采矿车；履带碾压,冲撞；落石；激光扫射；全场乱跑,【游荡威胁】作为地图上的强力阻碍；可选战斗；早期劝退者,利用地形卡位；攻击散热口,独立模型 (机械类)
P2,机械坟场-剧毒沼泽,Minion,机械猎犬 (Scrap Dog),CF-01 Variant,Common,眼部只有红光；动作僵硬；金属骨架,比爬行者更快；会试图绕侧翼包抄；被击毁后会自爆,【机动性压力】比P1怪物更快；惩罚转身慢的玩家；增加移动成本,预判射击；设置陷阱,基础骨骼A + 机械皮肤
P2,机械坟场-剧毒沼泽,Ranged,狙击炮塔 (Sniper Turret),RZ-02 Sniper Unit,Common,三脚架固定；红外瞄准线清晰可见,红线锁定2秒后造成巨额伤害（Hitscan）；射程极远,【掩体机制】强迫玩家寻找掩体；不能在空地乱跑；压迫感极强,打断瞄准；掩体互射,基础骨骼B + 狙击枪挂件
P2,机械坟场-剧毒沼泽,Ranged,迫击炮手 (Mortar Bot),RZ-04 Mortar Lobber,Uncommon,背着巨大的炮筒；行动缓慢,躲在掩体后；发射抛物线榴弹；造成燃烧区域,【反掩体】克制喜欢一直躲在掩体后苟命的玩家；逼迫出掩体,保持移动；突脸近战,基础骨骼C + 炮筒挂件
P2,机械坟场-剧毒沼泽,Defense,方阵兵 (Phalanx Unit),DF-06 Phalanx Linker,Uncommon,手持能量盾；两只一组出现,结对行动；中间生成激光墙阻挡去路；触碰激光墙会被击退,【阵型破坏】限制玩家的移动空间；分割战场；制造死路,爆炸破盾；绕大圈攻击侧面,基础骨骼C + 能量盾特效
P2,机械坟场-剧毒沼泽,Specialist,磁力钩锁 (Magnet Hook),CC-02 Hookshot,Rare,巨大的磁铁手臂；线圈缠绕,将远处的玩家强行拉到身前；造成晕眩；配合自爆怪,【强制位移】破坏玩家的节奏；配合自爆怪形成必杀Combo,保持距离；冲刺抵消拉力,基础骨骼C + 磁铁挂件
P2,机械坟场-剧毒沼泽,Specialist,干扰水晶 (Jammer Pylon),SP-02 Buffer Totem,Rare,漂浮的紫色水晶塔；周围空气扭曲,发出持续噪声；使范围内玩家无法使用主动技能/光帆过载,【技能封印】针对技能流/大招流；迫使玩家依赖平射基本功,第一时间拆塔；远程点掉,场景组件 (水晶塔)
P2,机械坟场-剧毒沼泽,Specialist,隐形猎手 (Ghost Stalker),MB-02 Ghost Stalker,Rare,半透明光学迷彩；只有攻击瞬间显形,隐身接近；攻击现形；背刺必暴击；移动无声,【观察检测】P2的环境更暗；教导听声辨位；防范背后,AOE炸出来；背靠墙壁战斗,基础骨骼D (刺客类)
P2,机械坟场-剧毒沼泽,Hazard,感应地雷 (Proximity Mine),HZ-04 Proximity Mine,Uncommon,埋在土里；只有红灯闪烁；滴滴声,感应到玩家或怪物后跳起爆炸；延时1秒,【环境利用】既是陷阱也是武器；可以引诱怪物踩雷炸死它们,仔细看路；风筝引怪,场景组件
P2,机械坟场-剧毒沼泽,Gimmick,反应装甲兵 (Reactive Guard),DF-05 Reactive Armor,Rare,浑身插满爆炸刺；红灯闪烁,每次受到攻击反弹一枚导弹；攻速越快死得越快；内置CD 0.2秒,【射速惩罚】针对加特林/冲锋枪流派；教导“点射”的重要性,单发高伤武器 (狙击/火炮),基础骨骼C + 刺猬甲
P2,机械坟场-剧毒沼泽,Elite,电磁处刑者 (Electrocutioner),EL-03 Assassin Squad,Rare (Elite),双持电棍；带瞬移残影,瞬移到玩家背后进行连击；附带沉默效果；高攻速,【反应力考题】高强度的近战压迫；不给喘息机会；类似格斗游戏,精准闪避 (擦弹)；控制打断,独立模型 (P2副Boss复用)
P2,机械坟场-剧毒沼泽,Boss,焚化炉 (The Incinerator),Act Boss,Unique,巨大的垃圾处理炉机器人；胸口是燃烧室,火焰喷射；全屏高温（持续掉血）；召唤废料雨；吞噬垃圾回血,【软狂暴机制】全屏高温迫使玩家必须速战速决；不能磨叽,高爆发输出；寻找冷却点,独立高精模型
P2,机械坟场-剧毒沼泽,Boss,游荡者 (The Roamer),Mini-Boss,Unique,披着破布的神秘机甲；像是拾荒者,使用狙击枪；超远距离风筝玩家；会逃跑并回血,【反向风筝】它会跑；玩家要追；反传统的Boss战体验,利用光帆追击；堵截路线,独立模型 (人形)
P3,翠绿噩梦-变异丛林,Minion,分裂孢子 (Spore Slime),CF-03 Slime Splitter,Common,半透明绿色胶状体；体内有发光核心,死亡时分裂成2-4个小个体；小个体速度极快但血量低；无视碰撞体积,【AOE检测器】惩罚单点高伤武器（如狙击/左轮）；制造“清不完”的焦虑感,使用散弹；波纹；爆炸类武器,基础骨骼D (软体类)
P3,翠绿噩梦-变异丛林,Minion,毒爆花 (Bloom Boomer),CF-02 Suicide Boomer,Common,鲜艳的红色花苞；肿胀脉动；滴落粘液,接近玩家后自爆；留下持续8秒的剧毒区域；死亡时也会爆出一圈毒刺,【区域封锁】配合地形限制玩家走位；迫使玩家不断转移阵地,在远处点爆；击退技能,基础骨骼D + 粒子特效
P3,翠绿噩梦-变异丛林,Ranged,迫击炮草 (Mortar Plant),RZ-04 Mortar Lobber,Uncommon,巨大的捕蝇草形态；背部有类似火炮的管状物,抛射毒液弹；造成大范围地面伤害；弹道极高；无视掩体,【反掩体机制】克制喜欢躲在墙角的玩家；逼迫玩家进行长距离机动,保持移动；突脸近战,基础骨骼E (植物类)
