Planet_ID,Zone_Theme,Monster_Class,In_Game_Name,Archetype_Ref,Spawn_Weight,Visual_Style,Behavior_Logic,Design_Intent,Player_Counter,Asset_Source,,,基础版,,,,,,,
P4,深海之眼-幽暗水下,Boss,利维坦 (Leviathan),Act Boss,Unique,超巨大的鲸鱼状生物；吞噬一切,在背景游动；突然冲撞；吸入玩家进入体内战斗；胃酸上涨,【场景互动体验】Boss本身就是关卡（体内/体外切换）；极其震撼的演出,攻击内部核心；躲避消化液,独立高精模型 (超巨大),,,,,,,,,,
P4,深海之眼-幽暗水下,Boss,深潜者 (Deep Diver),Mini-Boss,Unique,灵活的人形生物；使用三叉戟；身法矫健,高速冲刺；水流冲击；召唤水分身；连击判定极强,【高机动性对决】考验玩家的跟枪能力和闪避节奏；类似格斗游戏,预判冲刺路径；弹反（如有）,独立模型 (人形),,,,,,,,,,
P5,核心都市-霓虹夜雨,Minion,镇暴盾兵 (Riot Guard),DF-06 Phalanx Linker,Common,全身白色高科技护甲；手持能量盾,结阵推进；两两之间生成激光墙；不可正面突破；脚步整齐划一,【阵型破坏检测】限制玩家移动空间；分割战场；制造死角,爆炸破盾；绕大圈攻击侧面；穿透弹,基础骨骼C (人形/壮汉) + 能量盾特效,,,,,,,,,,
P5,核心都市-霓虹夜雨,Ranged,交叉火力无人机 (Crossfire Drone),RZ-10 Crossfire Drone,Common,球形浮游机；红蓝警灯闪烁,两架一组出现；拉开角度形成交叉火网；智能预判玩家掩体位置,【空间感检测】惩罚只关注一个方向的玩家；制造无处可躲的弹幕网,快速位移；优先击落一架打破夹角,基础骨骼B (浮游类) + 连线特效,,,,,,,,,,
P5,核心都市-霓虹夜雨,Specialist,信号干扰塔 (Signal Jammer),CC-04 Silencer,Uncommon,漂浮的黑色方尖碑；周围有噪点,屏蔽玩家小地图；使UI出现故障乱码；范围内禁止主动技能,【心理施压】剥夺信息获取能力；制造恐慌感；封印大招流,凭记忆背板；第一时间远程点掉,场景组件 (方尖碑),,,,,,,,,,
P5,核心都市-霓虹夜雨,Specialist,战术指挥官 (Tactical Commander),SP-02 Buffer Totem,Rare,身披红披风的军官;手持指挥刀,不直接攻击;给全场怪物提供[狂暴](攻速移速+50%)和[吸血]光环,[击杀优先级检测]团战核心;如果不杀他;小怪强度会翻倍,越过前排肉盾;刺客流切后排,基础骨骼C + 光环特效,,,,,,,,,,
P5,核心都市-霓虹夜雨,Gimmick,棱镜行者 (Prism Walker),GM-01 Color Coded,Rare,全身晶体化；颜色不断切换（红/蓝/绿）,只免疫对应颜色的伤害；伤害极高；护盾破碎前霸体,【元素池深度检测】强制要求玩家携带多属性星核；惩罚单属性Build,切换对应元素武器；等待颜色切换,基础骨骼C + 变色Shader,,,,,,,,,,
P5,核心都市-霓虹夜雨,Elite,处刑官 (The Judge),EL-03 Assassin Squad,Rare (Elite),悬浮的机械法官;四条机械臂,瞬移;重力压制(减速);激光处决;拥有多条血条,[综合战术考题]P5的守门员;结合了控制;机动和高伤;不仅要躲还要解控,保持距离;预判瞬移落点,独立模型 (P5副Boss复用),,,,,,,,,,
P5,核心都市-霓虹夜雨,Boss,主脑 (The Architect),Act Boss,Unique,巨大的计算机核心；无数电缆连接天花板,控制场地变化（升降地板）；召唤之前的Boss幻影（数据投影）；全屏激光网,【机制记忆检测】复习前几个星球的所有考点；智力与操作的双重考验,寻找地板规律；快速击破幻影,独立高精模型 (建筑类),,,,,,,,,,
P5,核心都市-霓虹夜雨,Boss,战争原型机 (War Prototype),Mini-Boss,Unique,未涂装的巨型机甲；管线裸露,全屏导弹洗地；超载激光（伤害极高但会扣自己血）；失控冲撞,【高风险博弈】Boss攻击欲望极强但会自残；玩家需要躲避并补刀,利用Boss的自伤机制；规避全屏大招,独立模型 (机甲),,,,,,,,,,
P6,遗落圣地-现实崩坏,Minion,虚空故障 (Void Glitch),CF-06 Infector,Common,一团马赛克；不断闪烁；模型崩坏,接触其他怪物使其变异（数值翻倍）；无视碰撞体积；死后产生黑洞,【清理效率检测】像病毒一样扩散；必须最快速度清除；视觉上极度不适,第一时间秒杀；远离变异怪,特殊Shader (顶点偏移),,,,,,,,,,
P6,遗落圣地-现实崩坏,Specialist,逻辑篡改者 (Logic Bender),CC-08 Input Inverter,Uncommon,倒立行走的人偶；发出诡异笑声,发射【反向波】；被击中后上下左右操作反向；持续5秒,【大脑短路检测】打破玩家30小时养成的肌肉记忆；极度恶心,被击中后停手；或者反着操作,基础骨骼D (人形/诡异),,,,,,,,,,
P6,遗落圣地-现实崩坏,Specialist,时间收割者 (Time Reaper),MT-05 Time Reaper,Rare,手持镰刀的死神残影；无敌,倒计时出现（如果房间清理太慢）；触碰即死；缓慢追踪玩家,【软狂暴机制】迫使玩家在P6不能苟；必须激进推进,提升DPS；快速清图,特殊资产 (半透明/残影),,,,,,,,,,
P6,遗落圣地-现实崩坏,Gimmick,上一轮的亡魂 (Past Ghost),EL-02 Nemesis (Ghost),Rare,长得和玩家一模一样（半透明红）,使用玩家【上一局死亡时】的武器和光帆；继承当时的属性,【叙事闭环】你最大的敌人是你自己；打败过去的失败,针对自己上一局的弱点；利用AI缺陷,动态加载玩家Prefab,,,,,,,,,,
P6,遗落圣地-现实崩坏,Gimmick,因果律武器 (Causality Drone),RZ-05 Prediction Gunner,Rare,纯几何体（正四面体）；悬停,计算玩家移动向量；向【未来位置】射击；弹道不可躲避（Hitscan）,【反直觉操作】越是乱跳越容易接子弹；惩罚无脑位移,急停；S型不规则走位,基础骨骼B + 几何体模型,,,,,,,,,,
P6,遗落圣地-现实崩坏,Elite,进化体 (The Evolved),EL-04 Evolutionary,Rare (Elite),不断变换形态的生物,玩家用什么武器杀它最多；下一层它就生成对该武器的90%抗性,【动态难度调整】惩罚“一招鲜吃遍天”；迫使玩家使用冷门武器,保留大招给它；切换攻击模式,独立模型 (不定形),,,,,,,,,,
P6,遗落圣地-现实崩坏,Boss,终焉 (The Entropy),Final Boss,Unique,不可名状的光球；不断变换形态（黑洞/恒星/眼睛）,篡改游戏规则（黑屏；禁止射击；强制换弹）；召唤删库打击；清除玩家背包,【打破第四面墙】不仅是打怪；是与游戏机制本身的对抗；演出震撼,适应规则变化；在绝望中寻找输出窗口,独立高精特效 (纯光影),,,,,,,,,,
P6,遗落圣地-现实崩坏,Boss,开发者 (The Dev),Secret Boss,Unique,一个在写代码的巨大全息投影,修改玩家的伤害数值（变成0或加倍）；修复墙壁（封路）；删除怪物,【元游戏彩蛋】隐藏结局；一场关于游戏设计的对话,存活下来；等待脚本结束,特殊资产 (全息投影),,,,,,,,,,
Global,全星域通用,Invader,虚空掠夺者 (Void Reaver),CF-01 Variant,Rare (Event),深紫色几丁质外壳；不断滴落黑色液体,从虚空裂缝刷出；死亡时产生黑洞吸附玩家；无视地形,【死亡惩罚】杀死它并不是结束；惩罚近战贪刀,远程击杀；击杀后立刻冲刺远离,基础骨骼A + 黑洞特效,,,,,,,,,,
Global,全星域通用,Invader,虚空编织者 (Void Weaver),RZ-08 Laser Sentinel,Rare (Event),漂浮的紫色长袍；没有脚,发射追踪的紫色光球；光球飞行速度极慢但追踪性极强；无法被地形阻挡,【走位限制】慢速子弹也是威胁；压缩玩家的安全空间,引导光球撞击怪物；大范围绕圈,基础骨骼B (法师类),,,,,,,,,,
Global,全星域通用,Invader,虚空巨像 (Void Colossus),EL-01 Juggernaut,Very Rare (Event),巨大的黑曜石石像；身上有紫色裂纹,霸体；缓慢行走；每一步都会震晕周围玩家；无法被击退,【重型压迫】必须优先处理的战场巨兽；打乱玩家节奏,攻击膝盖弱点；在震地跳起,基础骨骼C + 震地波,,,,,,,,,,
Global,全星域通用,Invader,相位蜘蛛 (Phase Spider),MB-01 Teleporter,Rare,水晶材质的蜘蛛；半透明,受到伤害瞬间传送；必定传送到玩家头顶落下；造成击倒,【反应测试】惩罚站桩输出；必须时刻保持移动,预判落点；向后滑步,基础骨骼A (爬行类),,,,,,,,,,
Global,全星域通用,Invader,反魔法力场 (Nullifier),SP-02 Buffer Totem,Rare,浮游的黑色球体；周围光线扭曲,展开力场；力场内玩家武器伤害降低50%；无法暴击,【DPS检测】强制降低玩家输出；延长战斗时间增加风险,进入力场近战（抵消减伤）；重武器破盾,场景组件 (球体),,,,,,,,,,
Global,全星域通用,Invader,复制体 (Doppelganger),MT-06 Copycat,Very Rare,灰色的无面人；拟态玩家外形,捡起地上掉落的武器；使用该武器攻击玩家；血量极低但伤害极高,【以彼之道】让玩家体验被自己武器打的感觉；抢夺资源,比它先捡到武器；快速秒杀,通用骨骼 (人形),,,,,,,,,,
Global,全星域通用,Mercenary,赏金狙击手 (Hunter Sniper),RZ-02 Sniper Unit,Rare (Wanted),身穿吉利服；带有激光瞄准,超远距离狙击；会寻找高地掩体；会放置地雷护住侧翼,【PVP体验】像是在对战另一个玩家；高智商AI,投掷手雷逼出掩体；光帆突脸,基础骨骼G (狙击手),,,,,,,,,,
Global,全星域通用,Mercenary,重装盾卫 (Hunter Tank),DF-01 Shield Bearer,Rare (Wanted),全覆式重甲；手持防爆盾,推进；盾击；投掷闪光弹致盲玩家；会喝血瓶回血,【战术博弈】会使用道具的敌人；极难处理的防御者,在其喝药时打断；绕背处决,基础骨骼C (壮汉),,,,,,,,,,
Global,全星域通用,Mercenary,爆破专家 (Hunter Demo),RZ-04 Mortar Lobber,Rare (Wanted),挂满手雷的疯子；狂笑,疯狂投掷手雷；埋设C4炸药；死后自爆威力巨大,【混乱制造者】让战场变成雷区；迫使玩家不断跑动,空中击爆手雷；远程点杀,基础骨骼B (投掷类),,,,,,,,,,
Global,全星域通用,Mercenary,纳米刺客 (Hunter Assassin),MB-02 Ghost Stalker,Rare (Wanted),紧身纳米服；双刀,隐身；墙面行走；处决攻击（直接扣除30%血上限）,【高风险威胁】一旦被抓到就是重伤；极度危险的单体敌人,使用扫描类道具；背靠墙角,基础骨骼D (刺客),,,,,,,,,,
Global,全星域通用,Flora,吸血藤 (Vampire Vine),HZ-05 Wall Grabber,Uncommon,红色的荆棘；平时缩在地下,缠绕路过的玩家；每秒吸取玩家生命值并治疗周围怪物,【续航破坏】打断玩家的回复节奏；给怪物加血,快速按键挣脱；火焰武器烧毁,场景组件 (植物),,,,,,,,,,
Global,全星域通用,Flora,爆炸蘑菇 (Boom Shroom),CF-02 Suicide Boomer,Common,五彩斑斓的蘑菇；随风摇摆,受到攻击或触碰后释放毒粉；造成混乱（操作反向）,【环境陷阱】惩罚乱开枪的玩家；限制走位,单发点掉；远离毒雾,场景组件 (植物),,,,,,,,,,
Global,全星域通用,Flora,水晶尖刺 (Crystal Spike),HZ-03 Floor Spike,Common,地面上的蓝色晶簇,玩家冲刺经过时刺出；造成流血；阻挡冲刺路径,【移动限制】专门克制喜欢乱冲刺的玩家；分割战场,跳跃通过；重武器击碎,场景组件,,,,,,,,,,
Global,全星域通用,Flora,捕蝇草炮台 (Spitter Plant),RZ-01 Basic Shooter,Uncommon,巨大的花朵；口中含着酸液,固定炮台；向扇形区域喷射酸液；射程较短但覆盖面大,【区域封锁】让某一块区域变得不可通行,远程摧毁；绕后攻击,基础骨骼E (植物),,,,,,,,,,
Global,全星域通用,Prop,宝箱怪 (Mimic),HZ-01 Mimic Chest,Rare,看起来像金宝箱；链条方向不同,玩家开启时咬住玩家双手；造成巨额伤害；吞噬玩家金币,【贪婪惩罚】经典的RPG陷阱；让玩家开箱前犹豫,攻击宝箱确认；观察呼吸动画,通用骨骼 (宝箱),,,,,,,,,,
Global,全星域通用,Prop,被诅咒的武器架 (Possessed Armor),EL-01 Juggernaut,Rare,废弃的盔甲装饰,玩家靠近时突然动起来；挥舞巨斧；攻击范围极大,【惊吓元素】场景叙事的一部分；突然的战斗,保持距离；格挡（如有）,独立模型 (盔甲),,,,,,,,,,
Global,全星域通用,Prop,黄金飞贼 (Golden Snitch),MT-01 Loot Goblin,Very Rare,极小的金色球体；飞行速度极快,全图乱飞；不会攻击；极难击中；打爆掉落极品棱镜,【枪法测试】极其考验跟枪能力的小目标；移动靶训练,追踪导弹；激光照射,微型模型,,,,,,,,,,
Global,全星域通用,Elite,元素领主-火 (Fire Lord),GM-01 Color Coded,Rare (Elite),全身燃烧的骷髅；火环缭绕,免疫火属性；攻击附带燃烧；经过的地面着火,【元素抗性】强制要求非火属性武器；战场环境破坏,冰/电属性武器；风筝战术,基础骨骼B + 火焰特效,,,,,,,,,,
Global,全星域通用,Elite,元素领主-冰 (Ice Lord),GM-01 Color Coded,Rare (Elite),冰晶组成的巨人；自带暴风雪,免疫冰属性；攻击附带减速/冻结；光环减慢玩家射速,【攻速克制】降低玩家DPS；极其危险的控场怪,火/雷属性武器；保持距离,基础骨骼C + 冰霜特效,,,,,,,,,,
Global,全星域通用,Elite,元素领主-雷 (Thunder Lord),GM-01 Color Coded,Rare (Elite),闪电球体；瞬移,免疫雷属性；攻击附带麻痹；会连锁闪电攻击附近的无人机,【召唤物克制】专门克制玩家的召唤流/无人机流,土/木属性（如有）；单体爆发,基础骨骼B + 闪电特效,,,,,,,,,,
Global,全星域通用,Variant,装甲爬行者 (Armored Crawler),CF-01 Variant,Common (Hard Mode),爬行者+铁板焊接,血量x3；正面减伤；速度略慢,【数值压力】后期关卡的填充物；提高清怪门槛,穿透武器；爆炸,基础骨骼A + 铁板,,,,,,,,,,
Global,全星域通用,Variant,精英无人机 (Elite Drone),RZ-10 Crossfire Drone,Common (Hard Mode),无人机+红色涂装,射速x2；一次发射3发子弹；弹道速度加快,【弹幕压力】增加屏幕上的子弹密度；消耗玩家精力,寻找掩体；快速击落,基础骨骼B + 红色材质,,,,,,,,,,
Global,全星域通用,Variant,剧毒狙击手 (Toxic Sniper),RZ-02 Sniper Unit,Uncommon (Hard Mode),狙击手+防毒面具,子弹击中后附带剧毒；持续扣血；无法自动回复,【回复抑制】对抗拥有吸血能力的后期玩家,躲避第一发；解毒药剂,基础骨骼G + 绿色特效,,,,,,,,,,
Global,全星域通用,Variant,重力投掷者 (Gravity Lobber),RZ-04 Mortar Lobber,Uncommon (Hard Mode),迫击炮+紫色光晕,投掷的不是炸弹而是重力井；吸附玩家,【强力控制】不再造成直接伤害；而是配合队友秒杀玩家,位移技能逃脱；优先击杀,基础骨骼C + 紫色特效,,,,,,,,,,
Global,全星域通用,Gimmick,时间吞噬者 (Time Eater),MT-05 Time Reaper,Rare,半透明的沙漏状生物,每存活1秒；关卡倒计时扣除2秒；加快游戏节奏,【时间紧迫】迫使玩家放弃探索；直接速通,不惜一切代价秒杀；爆发技能,特殊资产 (沙漏),,,,,,,,,,
Global,全星域通用,Gimmick,武器窃贼 (Disarmer),MT-03 Resource Thief,Rare,机械猴子；动作灵敏,攻击会打掉玩家当前的武器（掉在地上）；需捡回,【武装解除】极度恐慌；短时间内失去反击能力,副武器射击；快速捡枪,基础骨骼A (灵长类),,,,,,,,,,
Global,全星域通用,Gimmick,路障路障 (Barricade),DF-06 Phalanx Linker,Common,带有眼睛的混凝土块,不会攻击；挡在路中间；血量极厚,【单纯的恶心】消耗玩家弹药；阻挡冲刺路线,重武器轰炸；绕路,场景组件 (石块),,,,,,,,,,
Global,全星域通用,Gimmick,数据溢出 (Overflow),CF-06 Infector,Rare,乱码组成的球体,死亡时会给玩家随机加一个Buff或Debuff（赌博）,【随机性】可能是回满血；也可能是扣半血；未知的诱惑,自行决定杀不杀；远程击杀,特殊Shader,,,,,,,,,,
Global,全星域通用,Gimmick,幽灵光环 (Ghost Aura),SP-05 Shield Linker,Uncommon,看不见的幽灵,附身在其他怪物身上；使其隐身；必须先杀宿主,【视觉干扰】看不见敌人；只能看见子弹飞来,盲射；AOE覆盖,粒子特效,,,,,,,,,,
Global,全星域通用,Boss,虚空领主 (Void Overlord),Mini-Boss,Unique,巨大的虚空生物；多条手臂,撕裂空间；召唤陨石；全屏吸入；即死攻击,【游荡灾难】可能在任何星球出现的终极猎手,逃跑；或者神装硬刚,独立高精模型,,,,,,,,,,
Global,全星域通用,Boss,赏金之王 (King Slayer),Mini-Boss,Unique,全副武装的雇佣兵头目,使用全套玩家技能(冲刺;大招;护盾);AI极高,[PVP终极体验]像是在打世界冠军玩家,预判;骗技能;抓后摇,独立模型 (重甲人形),,,,,,,,,,
Global,全星域通用,Boss,暴走钻探机 (Mad Drill),Mini-Boss,Unique,巨大的钻头车；无视地形,在地下穿梭；突然钻出顶飞玩家；全屏震地,【地形破坏者】破坏关卡原本的结构；制造混乱,预判钻出位置；攻击驾驶舱,独立模型 (机械),,,,,,,,,,
Global,全星域通用,Boss,拟态古树 (Mimic Tree),Mini-Boss,Unique,伪装成安全屋的大树,当玩家在树下休息时发动攻击；树根缠绕；树叶飞刀,【安全感破坏】唯一的避风港也是陷阱,永远不要放松警惕；火焰烧树,独立高精模型,,,,,,,,,,
Global,全星域通用,Boss,数据魔方 (The Cube),Mini-Boss,Unique,巨大的悬浮方块,不断变换形态（激光/导弹/护盾）；毫无感情的杀戮机器,【几何美学】纯粹的弹幕与机制考核；无叙事干扰,背板；寻找几何死角,独立模型 (几何体),,,,,,,,,,
